IDENTIFIER	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
ACSM1	5.72677	5.99533	5.78664	5.46955	5.599	5.80255
ACSM2A	5.69587	5.72651	5.93257	5.84986	5.80818	5.94638
ACSM2B	5.7641	6.04044	5.8046	5.76139	5.67998	5.88051
ACSM2B	5.76342	6.01891	5.85133	5.77373	5.6615	5.74364
ACSM5	6.75955	6.75088	6.58697	6.53564	6.33291	6.48126
ACSM6	5.83176	5.59164	5.58879	5.69283	5.59767	5.76639
ACSS1	7.99631	7.89013	7.93508	8.59507	8.59566	8.55906
ACSS2	9.31921	9.24494	9.32111	9.48048	9.43363	9.37299
ACSS3	7.56254	7.37778	7.65381	7.86917	7.79566	7.85091
ACTA1	8.66247	8.67464	8.60761	8.43946	8.39101	8.43174
ACTA2	8.10701	8.01152	8.24891	9.50104	9.42731	9.64803
ACTA2-AS1	7.26692	7.1178	7.19859	7.02485	6.98835	7.05639
ACTB	13.2453	13.3398	13.3586	13.3699	13.3903	12.9852
ACTB	13.8811	13.9002	13.8822	13.7773	13.6732	13.5363
ACTBL2	6.97571	7.09971	6.81442	6.46058	6.36594	6.34876
ACTC1	6.92074	6.90392	6.8088	7.37509	7.23432	7.68209
ACTG1	13.6527	13.6456	13.6579	13.6855	13.6381	13.4943
ACTG2	7.09636	7.13398	7.07741	7.38315	7.33063	7.62682
ACTL10	8.16934	8.18713	8.0559	7.94859	7.8547	8.0217
ACTL6A	10.28	10.0702	10.2719	9.67485	9.70171	9.67304
ACTL6B	6.84181	6.96968	6.76654	6.58695	6.54877	6.85492
ACTL7A	5.90129	5.98833	5.67929	5.9222	5.8957	5.90729
ACTL7B	8.03266	8.17674	8.05895	7.85482	7.8495	7.96747
ACTL8	6.57618	6.95934	6.91604	6.59141	6.5362	6.57219
ACTL9	7.93843	8.36016	7.97566	7.76492	7.7437	8.02798
ACTN1	12.7947	12.8356	12.7983	11.5923	11.6212	11.4809
ACTN2	6.70004	6.72745	6.67231	6.36903	6.57997	6.32367
ACTN3	7.20371	7.26015	7.20673	6.93778	6.92657	6.99356
ACTN4	13.3715	13.3684	13.3677	13.2596	13.2075	13.2167
ACTR10	9.80374	9.78206	9.99109	10.1653	10.2141	10.2501
ACTR1A	11.8092	11.7189	11.7294	11.7589	11.7593	11.6631
ACTR1B	9.26772	9.13203	9.12405	9.19155	9.07818	9.00226
ACTR2	12.588	12.4673	12.488	12.7432	12.6826	12.7815
ACTR3	12.0577	11.9949	12.0006	12.013	12.0902	12.0194
ACTR3B	9.12879	9.01277	9.14918	9.19799	9.16041	9.36074
ACTR3BP2	3.6058	3.45978	3.588	3.51875	3.55585	3.64768
ACTR3BP2	3.79597	3.54337	3.62615	3.68719	3.77863	3.89049
ACTR3BP2	3.60114	3.4237	3.57067	3.48946	3.52467	3.6238
ACTR3BP2	4.04651	3.81729	3.94812	3.89872	3.91764	4.02919
ACTR3C	5.609	5.45753	5.57406	5.76522	5.75784	5.29396
ACTR5	9.13493	9.0126	9.10665	8.77704	8.59601	8.68591
ACTR6	8.65171	8.2875	8.5519	8.37101	8.37625	8.47123
ACTR8	10.2473	10.1718	10.3367	10.4431	10.4793	10.5083
ACTRT1	6.31161	6.27622	6.35038	6.10658	6.1013	6.23343
ACTRT2	7.39313	7.54438	7.25443	7.28421	7.17076	7.20227
ACTRT3	6.48679	6.47184	6.25092	6.2712	6.31252	6.47526
ACVR1	8.41162	8.22169	8.54075	8.69349	8.8716	8.67794
ACVR1B	9.04077	8.8954	8.90609	9.00543	8.86868	8.98577
ACVR1C	6.54269	6.56209	6.51387	6.33796	6.32068	6.36372
ACVR2A	8.39142	7.99235	8.34276	8.29481	8.41798	8.28379
ACVR2B	7.60552	7.66869	7.69782	7.69475	7.63618	7.59002
ACVRL1	7.42802	7.40379	7.34801	7.64615	7.50378	7.55304
ACY1	10.5842	10.5962	10.5528	11.0511	11.0702	11.0941
ACY3	6.63786	6.81151	6.72151	6.7943	6.73424	6.70528
ACYP1	8.61391	8.46341	8.50839	7.99646	8.18544	8.30619
ACYP2	7.73147	7.72316	8.05075	9.12245	9.0563	9.57061
ADA	9.54315	9.40654	9.50087	10.1509	10.2512	10.0064
ADAD1	4.29785	4.45937	4.36545	4.33256	4.31783	4.26215
ADAD2	8.30852	8.56499	8.39598	8.38328	8.4219	8.50728
ADAL	10.3106	10.0867	10.2405	10.6015	10.6192	10.4723
ADAM10	12.2041	12.0943	12.1954	12.1547	12.1688	12.1842
ADAM11	7.8347	7.92354	7.87624	7.91685	7.90163	7.93946
ADAM12	8.43006	8.19636	8.44922	8.63231	8.49768	8.77571
ADAM15	9.92099	9.88673	9.80033	9.82895	9.70019	9.78412
ADAM17	10.3624	10.186	10.3155	11.105	11.1542	10.9464
ADAM18	4.33395	4.47724	4.32516	4.41727	4.60326	4.41623
ADAM19	9.15785	9.14861	9.23249	8.20561	7.96245	8.24653
ADAM2	4.29127	4.07852	4.45729	4.12561	4.26625	4.29139
ADAM20	6.31451	6.14523	6.12529	6.59688	6.90076	6.4832
ADAM20P1	4.82232	5.19536	4.4402	5.80968	5.59621	6.04717
ADAM21	5.28747	5.01287	5.44178	6.17699	5.61579	6.19517
ADAM21P1	5.60814	5.69525	5.86223	6.49436	6.67696	6.69219
ADAM22	7.36106	7.0732	7.29503	7.62373	7.29163	7.22688
ADAM23	9.5222	9.43826	9.73628	9.68765	9.82673	9.7438
ADAM28	5.58007	5.79485	5.6227	5.70256	5.54099	5.44259
ADAM29	4.87727	4.95058	4.71352	4.89278	4.50169	4.6309
ADAM30	5.29233	5.34982	5.2272	5.098	5.25314	5.38027
ADAM32	6.59201	6.49377	6.68982	6.6005	6.76481	6.74313
ADAM33	7.93609	8.0709	7.94349	7.7907	7.87749	7.96329
ADAM3A	4.11167	4.01888	4.06405	3.90576	4.08789	4.07166
ADAM5	4.08383	4.35638	4.26783	4.23219	4.17637	4.21251
ADAM6	7.39277	7.624	7.43652	7.41504	7.01093	7.38767
ADAM6	6.00064	6.20319	6.00103	5.99028	5.75342	5.96503
ADAM7	4.61498	4.65013	4.30966	4.51944	4.21075	4.2537
ADAM8	7.77032	7.79367	7.72649	7.74865	7.56061	7.51773
ADAM9	11.4717	11.3868	11.4502	11.4106	11.3119	11.1149
ADAMDEC1	5.10334	5.32763	5.12829	4.9792	4.89173	4.9968
ADAMTS1	7.58566	7.61788	7.45373	7.50989	7.32684	7.23438
ADAMTS10	7.61257	7.70874	7.4656	7.62164	7.491	7.52013
ADAMTS12	9.64264	9.66662	9.62713	8.832	8.70524	8.81717
ADAMTS13	7.53835	7.66459	7.54024	7.56688	7.49011	7.59314
ADAMTS14	7.13791	7.35177	6.97092	6.79947	6.98885	7.13516
ADAMTS15	7.6738	7.45367	7.43562	9.90508	9.79167	10.0566
ADAMTS16	8.50348	8.47042	8.50362	7.86949	7.87816	7.85991
ADAMTS17	7.5024	7.45995	7.53141	6.95519	6.90985	7.05271
ADAMTS18	5.98641	6.0825	6.08965	5.68296	5.5625	6.03042
ADAMTS19	5.89174	6.05615	5.89484	5.77861	5.79536	5.88477
ADAMTS2	7.80806	7.8793	7.70919	7.79926	7.62616	7.6976
ADAMTS20	6.38392	6.15909	6.44266	6.5108	6.39082	6.437
ADAMTS3	8.27117	8.01643	8.45152	7.85436	7.79361	7.92544
ADAMTS4	6.91899	7.19185	6.85502	6.96553	7.00512	7.0349
ADAMTS5	6.0992	6.10199	6.05577	6.6149	6.50555	6.34539
ADAMTS6	7.03517	6.93928	6.96418	7.44463	7.54936	7.21304
ADAMTS7	9.19845	9.26483	9.11614	9.50636	9.41649	9.55831
ADAMTS8	7.19018	7.29474	7.27792	7.36043	7.10077	7.16451
ADAMTS9	8.23297	8.06716	8.1517	7.04689	6.9961	7.03675
ADAMTSL1	8.03735	8.06304	8.00201	8.1134	7.92322	7.84576
ADAMTSL1	7.59869	7.63288	7.58594	7.47236	7.40843	7.4647
ADAMTSL2	7.69044	7.74355	7.6616	7.63359	7.5942	7.70918
ADAMTSL3	7.32156	7.2214	7.36079	7.71495	7.49617	7.30938
ADAMTSL4	7.66669	7.69573	7.65703	8.14448	8.12749	8.53398
ADAMTSL4-AS1	6.66158	6.84438	6.75371	6.78087	6.712	6.87583
ADAMTSL5	8.23286	8.26123	8.02478	8.705	8.59744	8.64268
ADAP1	7.13006	7.23286	6.97597	8.24186	7.94815	7.93013
ADAP2	6.52284	6.48347	6.55978	6.63344	6.58425	6.63503
ADAR	11.3705	11.3369	11.3769	11.4872	11.448	11.3838
ADARB1	9.34636	9.21599	9.34298	9.241	9.32235	9.23086
ADARB2	7.47561	7.75387	7.48277	7.46777	7.16811	7.39312
ADAT1	11.0094	11.0951	11.2569	10.8642	10.8748	10.6827
ADAT2	9.1341	9.10801	9.17492	8.54617	8.52929	8.54978
ADAT3	8.9091	8.83828	8.75091	8.56864	8.52069	8.82456
ADAT3	8.84249	8.84766	8.68219	8.48803	8.53756	8.71128
ADCK1	8.12116	8.12124	8.10717	8.73602	8.69453	8.49042
ADCK2	8.17041	7.89247	7.99798	8.05159	8.02906	7.9753
ADCK3	9.30918	9.10556	9.28892	9.33238	9.19521	9.10577
ADCK4	8.97997	8.89304	8.94088	9.97281	9.80809	9.55772
ADCK5	8.21403	8.23893	8.21686	8.28278	8.33931	8.30195
ADCY1	7.8911	7.90919	7.8919	7.38389	7.25517	7.22965
ADCY10	5.11929	5.08976	5.23336	5.21197	5.10151	5.06255
ADCY10P1	7.24251	7.4088	7.59771	7.47166	6.70087	6.9495
ADCY2	6.38836	6.44289	6.41819	6.34467	6.26305	6.26574
ADCY3	10.487	10.4593	10.4826	9.65412	9.5301	9.59375
ADCY4	7.01602	7.17005	6.91948	7.05839	7.0453	6.87181
ADCY5	6.6472	6.73485	6.67475	6.805	6.72042	6.59827
ADCY6	9.51684	9.51277	9.40363	9.56892	9.55652	9.54317
ADCY7	8.84897	8.70573	8.69424	8.85762	8.68787	8.89129
ADCY8	6.51866	6.80424	6.45442	6.32186	6.35321	6.6063
ADCY9	8.96296	8.75505	8.90097	9.11029	9.03965	9.03135
ADCYAP1	6.79656	6.84946	6.82282	7.19444	6.89078	6.88814
ADCYAP1R1	6.31302	6.29195	6.23971	5.91734	5.87632	6.0356
ADD1	9.87339	9.79858	9.92392	10.2418	10.0866	10.2674
ADD2	8.61106	8.5145	8.61434	8.41614	8.20309	8.26161
ADD3	10.3739	10.194	10.3883	11.7285	11.7695	11.6467
ADGB	4.92223	4.94906	4.77392	4.96366	4.81066	4.85225
ADH1A	6.4014	6.53323	6.51653	6.43071	6.37354	6.23601
ADH1B	5.33532	5.54634	5.36631	5.22807	5.47359	5.52026
ADH1C	5.50677	5.53652	5.07732	5.13888	5.23026	5.27745
ADH4	4.65461	4.92091	4.65375	4.60937	4.39192	4.44856
ADH5	10.31	10.1588	10.3662	10.3472	10.3522	10.3374
ADH5	9.59436	9.41823	9.49317	9.63468	9.6607	9.75728
ADH6	4.54363	4.60882	4.61144	4.5834	4.54937	4.72667
ADH7	5.02638	4.89132	4.96746	4.83559	4.78298	4.88452
ADHFE1	6.17164	6.14638	6.42889	8.72392	8.87976	8.66915
ADI1	11.6419	11.5063	11.6348	11.5993	11.7172	11.721
ADIG	7.82505	8.05314	7.79302	7.55172	7.67873	7.83644
ADIPOQ	6.3021	6.60106	6.57826	6.2156	6.44216	6.17815
ADIPOR1	12.5767	12.5695	12.5977	12.4766	12.4227	12.3541
ADIPOR2	11.0088	10.8548	11.0306	10.8417	10.8042	10.9344
ADK	10.7703	10.7012	10.7028	10.5307	10.5574	10.5406
ADM	9.32002	9.25225	9.24481	8.46493	8.59753	8.54893
ADM2	8.49273	8.64322	8.47354	8.52611	8.30674	8.47358
ADNP	11.6187	11.6165	11.696	11.673	11.7588	11.6688
ADNP2	9.2278	9.06443	9.28628	8.68409	8.61737	8.59938
ADO	9.23627	9.19998	9.2177	9.0109	8.75339	8.91776
ADORA1	9.01875	8.91884	8.89148	8.51081	8.44921	8.48044
ADORA2A-AS1	7.44311	7.73888	7.50708	7.44262	7.33724	7.49445
ADORA2B	10.1324	9.93289	10.0482	9.60435	9.41902	9.6392
ADORA3	6.18667	6.57945	6.09985	6.01954	6.10285	6.22585
ADPGK	9.92188	9.74006	9.90341	9.89475	9.90698	9.8249
ADPRH	6.97557	6.71976	7.13517	7.32195	7.29518	7.30591
ADPRHL1	7.82442	8.11527	7.83647	8.48819	8.62011	8.51783
ADPRHL2	9.13172	9.14724	9.15656	8.79958	8.70086	8.66123
ADPRM	8.89743	8.98292	9.13619	9.0376	9.15473	8.91096
ADRA1A	5.60958	5.75206	5.54727	5.41504	5.43329	5.40747
ADRA1B	8.79362	8.71117	8.82082	8.25435	8.31433	8.43344
ADRA1D	7.73455	7.66652	7.63758	7.75797	7.69341	7.58395
ADRA2A	7.69792	7.93075	7.76147	7.58272	7.54333	7.84777
ADRA2B	7.62848	7.90775	7.61716	7.43529	7.39362	7.59592
ADRA2C	7.87661	8.00899	7.75437	7.86877	7.61663	7.83234
